contract_type,category,core_risks,key_clauses,legal_basis,review_points
买卖合同,物权类合同,标的物权属、价款支付、交付验收、质量标准,标的、数量、质量、价款、履行时间地点方式、验收、违约责任,民法典合同编第9章买卖合同,1.标的物是否存在、权属是否清晰\n2.标的物是否允许流通\n3.数量、质量是否明确\n4.价款是否明确、是否含税\n5.交付时间、地点是否明确\n6.风险转移点是否明确\n7.验收标准和程序是否明确\n8.违约责任是否匹配
租赁合同,物权类合同,租赁物权属、租赁期限、租金支付、维修义务,标的、租赁期限、租金、用途、维修、转租、返还,民法典合同编第14章租赁合同,1.租赁物是否存在、出租人是否有权出租\n2.租赁期限是否明确、是否超过20年\n3.租金金额、支付时间是否明确\n4.租赁用途是否明确\n5.维修义务由谁承担\n6.是否允许转租\n7.租赁期满返还要求\n8.是否买卖不破租赁
借款合同,金融合同,借款本金、利息支付、还款期限、担保措施,借款金额、借款用途、利息、还款期限、担保、违约责任,民法典合同编第12章借款合同,1.借款金额是否明确、是否实际交付\n2.借款用途是否约定\n3.利率是否明确、是否超过法律上限\n4.是否砍头息\n5.还款期限和方式是否明确\n6.是否提供担保\n7.违约责任是否明确
建设工程合同,特殊合同,主体资质、工程范围、工期质量、价款支付,工程范围、工期、质量标准、价款、竣工验收、质保、违约责任,民法典合同编第18章建设工程合同,1.承包人是否有相应资质\n2.工程范围是否明确\n3.工期是否明确、是否有顺延机制\n4.质量标准是否明确\n5.价款构成是否清晰\n6.付款节点是否合理\n7.竣工验收标准是否明确\n8.质保期和质保金是否约定\n9.是否有价款优先受偿权条款
服务合同,服务类合同,服务内容、服务标准、服务成果验收、知识产权,服务内容、服务标准、服务成果、验收、报酬、知识产权、保密、违约责任,民法典合同编（承揽、委托、中介等）,1.服务内容是否明确\n2.服务标准是否可量化\n3.服务成果如何验收\n4.服务报酬是否明确\n5.是否涉及知识产权、归属如何\n6.是否需要保密\n7.是否区分承揽与委托\n8.是否有劳动用工风险
股权转让合同,公司合同,标的股权、转让价格、交割安排、优先权,标的股权、转让价格、交割、陈述保证、违约责任,公司法、民法典合同编,1.标的股权是否存在、是否有质押查封\n2.转让价格是否明确、定价依据\n3.其他股东是否放弃优先购买权\n4.交割日如何确定\n5.交割前后损益如何承担\n6.陈述保证条款是否完整\n7.是否有回购条款
担保合同,从合同,担保方式、担保范围、担保期间,担保方式、担保范围、担保期间、实现担保权,民法典物权编、合同编,1.担保方式是否明确（保证/抵押/质押）\n2.担保范围是否明确\n3.保证方式是否明确（一般/连带）\n4.抵押/质押财产是否明确\n5.是否需要登记\n6.担保期间是否明确\n7.是否约定实现担保权的条件
劳动合同,劳动合同,合同期限、工作内容、劳动报酬、社保公积金,合同期限、工作内容、工作地点、工作时间、劳动报酬、社保、解除终止,劳动合同法,1.是否采用书面形式\n2.合同期限是否明确\n3.试用期是否符合规定\n4.工作内容、地点是否明确\n5.工作时间是否符合规定\n6.劳动报酬是否低于最低工资\n7.是否缴纳社保\n8.解除终止条件是否合法
承揽合同,服务类合同,工作成果、验收标准、材料提供、报酬支付,工作成果、验收标准、材料提供、报酬、留置权、违约责任,民法典合同编第17章承揽合同,1.工作成果是否明确\n2.验收标准是否明确\n3.材料由谁提供\n4.报酬如何计算和支付\n5.是否可转交第三人完成\n6.是否有留置权\n7.定作人是否可随时解除
委托合同,服务类合同,委托事项、代理权限、报酬支付、转委托,委托事项、代理权限、报酬、转委托、解除、责任承担,民法典合同编第23章委托合同,1.委托事项是否明确\n2.代理权限是否明确（特别/一般）\n3.是否有偿委托\n4.费用如何承担\n5.是否可转委托\n6.任意解除权的后果\n7.受托人过错责任
中介合同,服务类合同,中介事项、报酬支付、跳单条款,中介事项、报酬、禁止跳单、违约责任,民法典合同编第26章中介合同,1.中介事项是否明确\n2.中介报酬是否明确、何时支付\n3.是否促成交易才支付报酬\n4.是否有禁止跳单条款\n5.必要费用如何承担
技术开发合同,技术合同,技术目标、验收标准、成果归属、风险承担,技术目标、技术内容、验收标准、成果归属、风险承担、报酬,民法典合同编第20章技术合同,1.技术目标是否明确\n2.技术内容是否具体\n3.验收标准是否明确\n4.技术成果的归属和分享\n5.风险如何承担\n6.报酬如何计算
商品房买卖合同,买卖合同,房屋权属、面积差异、交付条件、产权登记,房屋基本情况、价款、交付条件、产权登记、违约责任,城市房地产管理法、商品房销售管理办法,1.开发商是否有预售许可证\n2.房屋基本情况是否明确\n3.预测面积与实测面积差异处理\n4.交付条件是否明确\n5.产权登记期限\n6.违约责任是否对等
土地承包合同,物权类合同,承包期限、承包费、土地用途、流转方式,土地面积、承包期限、承包费、用途、流转、违约责任,农村土地承包法、土地管理法,1.土地权属是否清晰\n2.承包期限是否符合规定\n3.承包费是否明确\n4.土地用途是否符合规定\n5.是否允许流转\n6.流转方式和条件
合伙合同,组织合同,出资方式、利润分配、事务执行、入伙退伙,出资、利润分配、事务执行、入伙退伙、违约责任、解散清算,民法典合同编合伙合同、合伙企业法,1.出资方式、金额是否明确\n2.利润分配和亏损分担是否明确\n3.事务执行如何约定\n4.入伙退伙条件\n5.违约责任\n6.解散清算程序
仓储合同,服务类合同,仓储物、仓储期限、费用支付、验收,仓储物、仓储期限、仓储费、验收、违约责任,民法典合同编第21章仓储合同,1.仓储物是否明确\n2.仓储期限是否明确\n3.仓储费是否明确\n4.验收标准和程序\n5.仓储物毁损灭失风险
物业服务合同,服务类合同,服务内容、服务标准、物业费、维修义务,服务内容、服务标准、物业费、维修义务、违约责任,民法典、物业管理条例,1.服务内容是否明确\n2.服务标准是否可量化\n3.物业费是否明确、如何调整\n4.维修义务如何划分\n5.违约责任
赠与合同,物权类合同,赠与意思表示、赠与物权属、赠与条件、撤销权,赠与物、赠与条件、撤销权、交付、瑕疵担保、违约责任,民法典合同编第11章赠与合同,1.赠与是否为真实意思表示\n2.赠与物权属是否清晰\n3.赠与是否附条件、条件是否明确\n4.赠与人是否享有撤销权\n5.赠与物的瑕疵担保责任\n6.是否需要公证
劳务派遣合同,劳动合同,派遣单位、用工单位、劳动者三方关系、派遣岗位、劳动报酬,派遣岗位、派遣期限、劳动报酬、社会保险、工伤责任、退回机制,劳动合同法、劳务派遣暂行规定,1.派遣单位是否有劳务派遣许可\n2.用工单位是否具备法定条件\n3.派遣岗位是否为临时性、辅助性、替代性岗位\n4.劳动报酬如何分配和支付\n5.社会保险由谁缴纳\n6.工伤责任如何承担\n7.退回机制是否明确
竞业限制协议,劳动合同,竞业限制范围、补偿金、期限、违约责任,竞业范围、限制期限、补偿金、违约责任、保密义务,劳动合同法第23-24条,1.竞业限制范围是否合理（地域、行业）\n2.限制期限是否超过2年\n3.补偿金是否明确、是否不低于平均工资30%\n4.违约责任是否合理\n5.是否与保密义务相区分\n6.离职后是否仍需遵守
增资扩股协议,公司合同,增资方案、股权结构、估值方法、出资方式,增资方式、增资金额、股权比例、估值方法、出资时间、违约责任,公司法、民法典合同编,1.增资方式是否明确（定向/公开）\n2.增资金额是否明确\n3.股权比例如何变化\n4.公司估值方法是否明确\n5.出资方式和时间是否明确\n6.是否需要股东会批准\n7.原股东是否有优先认购权
对赌协议,公司合同,业绩目标、估值调整、股权回购、补偿机制,业绩目标、估值调整、股权回购、补偿机制、违约责任,公司法、合同法、九民纪要,1.业绩目标是否明确、可量化\n2.估值调整机制是否清晰\n3.触发股权回购的条件是什么\n4.回购价格如何计算\n5.补偿机制是否合理\n6.是否违反法律、行政法规的强制性规定\n7.对赌协议的效力风险
一致行动协议,公司合同,一致行动范围、表决权委托、期限、违约责任,一致行动范围、表决权委托、期限、解除条件、违约责任,公司法、公司章程,1.一致行动范围是否明确（提案权、表决权等）\n2.表决权委托是否明确\n3.协议期限是否合理\n4.解除或终止条件是否明确\n5.违约责任是否合理\n6.是否需要披露\n7.是否符合公司章程规定
技术转让合同,技术合同,技术内容、交付方式、使用权范围、后续改进,技术内容、技术指标、交付方式、使用权限、后续改进归属、违约责任,民法典合同编第20章技术合同,1.技术内容是否明确、具体\n2.技术指标是否可量化\n3.交付方式是否明确（资料/培训/现场指导）\n4.使用权限是否明确（独占/排他/普通）\n5.后续改进的归属如何约定\n6.是否侵犯第三方知识产权\n7.验收标准是否明确
保险合同,金融合同,保险标的、保险责任、免责条款、理赔程序,保险标的、保险责任、责任免除、保险期间、保费、理赔程序、违约责任,保险法、海商法（如适用）,1.保险标的是否明确、可保\n2.保险责任范围是否明确\n3.免责条款是否合理、是否提示\n4.保险期间是否明确\n5.保费金额和支付方式是否明确\n6.理赔程序是否清晰\n7.是否违反保险利益原则
特许经营合同,服务类合同,特许经营权、特许费用、经营区域、保密义务、竞业限制,特许经营权授予、特许费用、经营区域、经营标准、保密义务、竞业限制、商标使用、违约责任,商业特许经营管理条例、商标法,"1.特许人是否具备特许经营条件
2.是否拥有成熟的经营模式
3.是否拥有注册商标、专利等
4.是否向商务主管部门备案
5.特许经营期限是否合理
6.特许费用是否明确
7.经营区域是否明确
8.经营标准是否可执行
9.保密义务和竞业限制是否合理
10.是否符合""两店一年""条件"
证券服务合同,金融合同,服务范围、投资风险、费用收取、利益冲突、信息披露,服务范围、投资策略、风险揭示、费用收取、利益冲突防范、信息披露、违约责任,证券法、证券投资基金法、证券期货投资者适当性管理办法,"1.证券公司是否具备资质
2.服务范围是否明确
3.投资策略是否匹配客户风险承受能力
4.风险揭示是否充分
5.费用收取是否合理
6.是否防范利益冲突
7.信息披露是否及时、完整
8.是否违反适当性义务"
工程监理合同,建设工程合同,监理范围、监理职责、监理权限、监理报酬、责任承担,监理范围、监理内容、监理权限、监理报酬、监理期限、监理责任、违约责任,建筑法、建设工程质量管理条例、建设工程监理规范,"1.监理单位是否具备相应资质
2.监理范围是否明确
3.监理内容和标准是否明确
4.监理权限是否充分
5.监理报酬是否合理
6.监理责任是否明确
7.是否与施工、设计存在利益冲突
8.监理期限是否覆盖建设全过程"
勘察设计合同,建设工程合同,勘察设计范围、技术标准、成果交付、知识产权、责任承担,勘察设计范围、技术标准、成果交付、验收标准、费用支付、知识产权、责任承担,建筑法、建设工程勘察设计管理条例、建设工程质量管理条例,"1.勘察设计单位是否具备相应资质
2.勘察设计范围是否明确
3.技术标准是否符合规范
4.成果交付时间和形式
5.验收标准是否明确
6.费用是否合理、支付方式
7.知识产权归属
8.设计错误的责任承担"
旅游合同,服务类合同,行程安排、服务质量、安全保障、费用构成、变更取消、责任承担,行程安排、服务标准、费用构成、安全保障、合同变更、合同解除、违约责任、强制购物,旅游法、消费者权益保护法、旅行社条例,"1.旅行社是否具备资质
2.行程安排是否明确
3.服务标准是否具体
4.费用构成是否透明
5.是否有强制购物条款
6.安全保障措施是否充分
7.变更、解除条件是否明确
8.责任承担是否合理
9.是否购买旅游意外险
10.是否符合最低成团人数要求"
